state,HC01_EST_VC01,HC02_EST_VC01,,,
Geography,Total; Estimate; Civilian population 18 years and over,Veterans; Estimate; Civilian population 18 years and over,total_pop,veteran_p,heavy_dr_p
Alabama,3728029,344304,100,9.24,4.5
Alaska,532759,69848,100,13.11,8.8
Arizona,5092640,483026,100,9.48,5.8
Arkansas,2256473,207886,100,9.21,5.1
California,29521047,1693602,100,5.74,5.7
Colorado,4078550,377992,100,9.27,6.5
Connecticut,2812617,189056,100,6.72,5.7
Delaware,729078,72017,100,9.88,5.2
District of Columbia,540474,28055,100,5.19,9
Florida,15785763,1461722,100,9.26,6.7
Georgia,7558160,651283,100,8.62,5.3
Hawaii,1071834,109871,100,10.25,7.9
Idaho,1199074,115951,100,9.67,5
Illinois,9878277,639445,100,6.47,6.5
Indiana,5011382,408790,100,8.16,5.2
Iowa,2379623,198627,100,8.35,6.3
Kansas,2164713,187113,100,8.64,5.1
Kentucky,3383932,280030,100,8.28,5.5
Louisiana,3521216,261722,100,7.43,6.5
Maine,1070433,113958,100,10.65,7.1
Maryland,4601090,384882,100,8.37,5.3
Massachusetts,5350381,338287,100,6.32,7
Michigan,7682851,600135,100,7.81,6.8
Minnesota,4171400,322421,100,7.73,6.4
Mississippi,2251182,174500,100,7.75,4.3
Missouri,4652461,438287,100,9.42,5.2
Montana,795463,84496,100,10.62,7.5
Nebraska,1409368,127730,100,9.06,6.4
Nevada,2169202,212314,100,9.79,6.9
New Hampshire,1058141,99552,100,9.41,7.1
New Jersey,6917501,360415,100,5.21,4.8
New Mexico,1575741,152055,100,9.65,5.7
New York,15498859,773063,100,4.99,4.9
North Carolina,7573326,673384,100,8.89,5.1
North Dakota,566668,50185,100,8.86,6.7
Ohio,8950281,759737,100,8.49,6.4
Oklahoma,2908631,276695,100,9.51,3.9
Oregon,3108465,295348,100,9.5,7.7
Pennsylvania,10083267,821624,100,8.15,6
Rhode Island,839652,63726,100,7.59,3.8
South Carolina,3719245,368017,100,9.89,6.2
South Dakota,639250,62645,100,9.8,5.9
Tennessee,5040995,450313,100,8.93,5
Texas,19753531,1496724,100,7.58,4.1
Utah,2033220,131381,100,6.46,5.8
Vermont,504214,43725,100,8.67,3.3
Virginia,6352059,690427,100,10.87,9.1
Washington,5409997,558895,100,10.33,5.3
West Virginia,1466192,140755,100,9.6,6.8
Wisconsin,4455877,368281,100,8.27,3.6
Wyoming,444076,45420,100,10.23,7.2
Puerto Rico,2774512,89665,100,3.23,6.2
Total,247073172,19349382,,,
